"Key"	"Source string"	"Context"	"Translation"
"3d_export.export"	"Export"	"Original Translation
zh_CN: 导出
zh_TW: 匯出"	""
"3d_export.include"	"Include"	"Original Translation
zh_CN: 包含
zh_TW: 加入"	"涵"
"3d_export.include_players"	"Include Players:"	"Original Translation
zh_CN: 包含玩家：
zh_TW: 加入玩家："	"涵戲者："
"3d_export.off"	"Off"	"Original Translation
zh_CN: 关闭
zh_TW: 關閉"	"閉"
"3d_export.remixServiceDiscontinued"	"Note: Remix3D Upload service is no longer available, use Export to save locally instead."	"Original Translation
zh_CN: 注意：Remix3D 上传服务不再可用，请使用“导出”来进行本地保存。
zh_TW: 注意：Remix3D 上傳服務已不再提供，使用「匯出」即可改為本機儲存。"	""
"3d_export.remove"	"Remove"	"Original Translation
zh_CN: 移除
zh_TW: 移除"	"除"
"3d_export.remove_blocks"	"Remove Blocks:"	"Original Translation
zh_CN: 移除方块：
zh_TW: 移除方塊："	"除塊："
"3d_export.reset"	"Reset"	"Original Translation
zh_CN: 重置
zh_TW: 重置"	"覆"
"3d_export.show"	"Show"	"Original Translation
zh_CN: 显示
zh_TW: 顯示"	"示"
"3d_export.title"	"3D Export"	"Original Translation
zh_CN: 3D 导出
zh_TW: 3D 匯出"	""
"accessibility.button.back"	"back"	"Original Translation
zh_CN: 返回
zh_TW: 返回"	"返"
"accessibility.button.close"	"close"	"Original Translation
zh_CN: 关闭
zh_TW: 關閉"	"閉"
"accessibility.button.creative.layout"	"Recipe book view"	"Original Translation
zh_CN: 配方书视图
zh_TW: 配方書檢視"	"方集之覽"
"accessibility.button.exit"	"Exit"	"Original Translation
zh_CN: 退出
zh_TW: 離開"	"去"
"accessibility.button.filter"	"Filter"	"Original Translation
zh_CN: 筛选
zh_TW: 篩選"	"濾"
"accessibility.button.filter.appliedCount"	"%s Applied"	"Original Translation
zh_CN: %s 已应用
zh_TW: 已套用「%s」"	"%s既行"
"accessibility.button.navigateLeft"	"Left Arrow"	"Original Translation
zh_CN: 左箭头
zh_TW: 向左鍵"	"←"
"accessibility.button.navigateRight"	"Right Arrow"	"Original Translation
zh_CN: 右箭头
zh_TW: 向右鍵"	"→"
"accessibility.button.recipebook.layout"	"Recipe book and inventory view"	"Original Translation
zh_CN: 配方书和物品栏视图
zh_TW: 配方書和物品欄檢視"	"方集、行囊之覽"
"accessibility.button.sort"	"Sort"	"Original Translation
zh_CN: 排序
zh_TW: 排序"	"序"
"accessibility.button.survival.layout"	"Inventory view"	"Original Translation
zh_CN: 物品栏视图
zh_TW: 物品欄檢視"	"行囊之覽"
"accessibility.button.tts.title"	"Button"	"Original Translation
zh_CN: 按钮
zh_TW: 按鈕"	"鈕"
"accessibility.chat.howtoemote"	"Press or Hold %s to Emote"	"Original Translation
zh_CN: 按或按住 %s 发表情
zh_TW: 按住 %s 以顯示表情符號"	"撳抑押%s以爲情貌"
"accessibility.chat.howtoopen"	"Press %s to open chat"	"Original Translation
zh_CN: 按 %s 打开聊天
zh_TW: 按 %s 開啟聊天"	"撳%s以啟論議"
"accessibility.chat.tts.gamepad.back"	"Press the %s to go back"	"Original Translation
zh_CN: 按下 %s 返回
zh_TW: 按 %s 返回"	"撳%s以返"
"accessibility.chat.tts.gamepad.exitChat"	"Press the %s to exit chat"	"Original Translation
zh_CN: 按下 %s 退出聊天
zh_TW: 按 %s 退出聊天"	"撳%s以去論議"
"accessibility.chat.tts.gamepad.sendMessage"	"Press the %s to send message"	"Original Translation
zh_CN: 按下 %s 发送消息
zh_TW: 按 %s 發送消息"	""
"accessibility.chat.tts.hideChat"	"Hide chat"	"Original Translation
zh_CN: 隐藏聊天
zh_TW: 隱藏聊天"	""
"accessibility.chat.tts.keyboard"	"Keyboard"	"Original Translation
zh_CN: 键盘
zh_TW: 鍵盤"	""
"accessibility.chat.tts.muteChatToggle"	"Mute All"	"Original Translation
zh_CN: 全部静音
zh_TW: 全部靜音"	""
"accessibility.chat.tts.says"	"%s says %s"	"Original Translation
zh_CN: %s 说 %s
zh_TW: %s 說 %s"	""
"accessibility.chat.tts.sendChatMessage"	"Send"	"Original Translation
zh_CN: 发送
zh_TW: 傳送"	"傳"
"accessibility.chat.tts.textboxTitle"	"Chat"	"Original Translation
zh_CN: 聊天
zh_TW: 聊天"	"議"
"accessibility.checkbox.tts.status"	"status %s"	"Original Translation
zh_CN: 状态 %s
zh_TW: 狀態 %s"	"態%s"
"accessibility.checkbox.tts.title"	"Checkbox"	"Original Translation
zh_CN: 复选框
zh_TW: 核取方塊"	""
"accessibility.controllerLayoutScreen.buttonBoundTo"	"%s button: %s"	"Original Translation
zh_CN: %s 按钮：%s
zh_TW: %s 按鈕：%s"	"%s鈕：%s"
"accessibility.controllerLayoutScreen.buttonRemapped"	"%s is now bound to %s"	"Original Translation
zh_CN: %s 已被绑定至 %s
zh_TW: %s 現在綁定至 %s"	"%s附爲%s"
"accessibility.controllerLayoutScreen.buttonRemapping"	"Select input to bind for %s"	"Original Translation
zh_CN: 为 %s 选择要绑定的输入
zh_TW: 選擇要和 %s 綁定的輸入"	"擇%s之所附"
"accessibility.disableTTS"	"Text To Speech disabled"	"Original Translation
zh_CN: 文本转语音已禁用
zh_TW: 文字轉換語音已停用"	"語錄既禁"
"accessibility.discount.percent"	"%s percent discount"	"Original Translation
zh_CN: %s% 折扣
zh_TW: %s% 折扣"	""
"accessibility.discount.price"	"Discounted Price %s Minecoins"	"Original Translation
zh_CN: 折扣价 %s Minecoin
zh_TW: 折扣價 %s 錢幣"	""
"accessibility.downloading.Progress"	"Downloading %s percent"	"Original Translation
zh_CN: 正在下载 %s%
zh_TW: 下載中，百分之 %s"	""
"accessibility.downloading.canceled"	"Download canceled"	"Original Translation
zh_CN: 下载已取消
zh_TW: 下載已取消"	""
